12.1.700123 cert_ms30_oct19,1.106708 cert_ms23
01D12834D9DBF303,01D0631BCC791704
2ECF,27C3
4474,2E8A
46D5,3488
4887,3A0E
4C0D,3DDA
4DB4,3F83
503D,41E4
3D84,4455
3AC8,4A08
2ED0,4BD7
5466,4F14
40AA,5247
529E,54E9
56D2,27C4
56D3,27C6
56E5,27D8
1265,1598
56E6,27D9
56E7,27DA
56E8,27DB
56E9,27DC
56EA,27DD
56EB,27DE
56EC,27DF
56ED,27E0
56EE,27E1
56EF,27E2
56F0,27E3
2F1A,27EE
5071,27EF
5077,27F0
56FA,27F1
56FB,27F2
56FC,27F3
5079,27F4
56FD,27F5
56FE,27F6
5700,27F7
5701,27F8
5702,27F9
4475,2E8B
4476,2E8C
4478,2E8E
4479,2E8F
2ED6,2E90
2EDD,2E91
2ED7,2E92
2EDE,2E93
2ED8,2E94
2EDB,2E95
2EDC,2E96
2EE3,2E97
2ED9,2E98
2EDA,2E99
2EE0,2E9A
2F30,2E9B
2EE2,2E9C
2EE1,2E9D
2EE4,2E9E
2F32,2E9F
447A,2EA0
447B,2EA1
447C,2EA2
447D,2EA3
447E,2EA4
447F,2EA5
2EE8,2EA6
2EDF,2EA7
2F33,2EA8
11C9,14FB
11E4,1516
1263,1596
2EEF,284C
00D8,01AF
00D5,01AC
00DB,01B2
1202,1564
1205,1567
11FF,1561
40B5,1A6B
2EF0,2EA9
2EF1,2EAA
2EF2,2EAB
2EF3,2EAC
1203,1565
00DE,01B5
16B0,1B8F
16AF,1B8E
11C5,14F7
1219,157C
11CC,14FE
11F3,1525
121E,1A45
121A,157D
11CE,1500
121B,159E
121C,157E
11C6,14F8
11CD,14FF
1222,1A55
11D2,1504
11DA,150C
11EC,151E
121F,15B1
121D,15B3
1221,15B2
4480,2EAD
4481,2EAE
2F27,2EC3
2F28,2EC4
2F29,2EC5
2F2A,2EC6
2F2B,2EC7
2F2C,2EC8
2F2D,2EC9
2F2E,2ECA
2F2F,2ECB
2F31,2ECC
2F4A,2ECD
