1.106708 cert_ms23,11.1.498295 Live,12.1.700123 cert_ms30_oct19
01D0631BCC791704,01D0E716A9BE900F,01D12834D9DBF303
2E8A,2D32,4474
3488,4B3B,46D5
2E8B,2D33,4475
2E8C,2D34,4476
2E8E,2D36,4478
2E8F,2D37,4479
2E90,2D38,2ED6
2E91,2D39,2EDD
2E92,2D3A,2ED7
2E93,2D3B,2EDE
2E94,2D3C,2ED8
2E95,2D3D,2EDB
2E96,2D3E,2EDC
2E97,2D3F,2EE3
2E98,2D40,2ED9
2E99,2D41,2EDA
2E9A,2D42,2EE0
2E9B,2D43,2F30
2E9C,2D44,2EE2
2E9D,2D45,2EE1
2E9E,2D46,2EE4
2E9F,2D47,2F32
2EA0,2D48,447A
2EA1,2D49,447B
2EA2,2D4A,447C
2EA3,2D4B,447D
2EA4,2D4C,447E
2EA5,2D4D,447F
2EA6,2D4E,2EE8
2EA7,2D4F,2EDF
2EA8,2D50,2F33
14FB,0D1B,11C9
1596,0D8D,1263
284C,2899,2EEF
01AF,00BE,00D8
01AC,00BB,00D5
01B2,00C1,00DB
1564,0D54,1202
1567,0D57,1205
1561,0D51,11FF
1A6B,1041,40B5
2EA9,2D51,2EF0
2EAA,2D52,2EF1
2EAB,2D53,2EF2
2EAC,2D54,2EF3
1565,0D55,1203
1B8F,115A,16B0
1B8E,1159,16AF
157C,0D6B,1219
14FE,0D1E,11CC
1525,0D45,11F3
1A45,0D70,121E
157D,0D6C,121A
159E,0D6D,121B
157E,0D6E,121C
14F8,0D18,11C6
14FF,0D1F,11CD
150C,0D2C,11DA
151E,0D3E,11EC
15B1,0D71,121F
15B3,0D6F,121D
15B2,0D73,1221
2EAD,2D55,4480
2EAE,2D56,4481
2EC3,2D6B,2F27
2EC4,2D6C,2F28
2EC5,2D6D,2F29
2EC6,2D6E,2F2A
2EC7,2D6F,2F2B
2EC8,2D70,2F2C
2EC9,2D71,2F2D
2ECA,2D72,2F2E
2ECB,2D73,2F2F
2ECC,2D74,2F31
2ECD,2D75,2F4A
2ECE,2D76,4484
2ECF,2D77,2F4E
2ED0,2D78,4485
2ED1,2D79,4486
2ED2,2D7A,2F51
2ED3,2D7B,4487
2ED4,2D7C,4488
2ED5,2D7D,4489
2ED6,2D7E,448A
2ED7,2D7F,448B
2ED8,2D80,448C
2ED9,2D81,448D
2EDA,2D82,448E
2EDB,2D83,448F
2EDC,2D84,3AEE
2EBB,2D63,4483
2EDD,2D85,4490
2EDE,2D86,4491
2EDF,2D87,4492
2EE0,2D88,4493
2EE1,2D89,4494
2EE2,2D8A,4495
2EE3,2D8B,4496
2EAF,2D57,2F11
2EB0,2D58,3ADE
2EB1,2D59,3ADF
2EB2,2D5A,2F0B
2EB3,2D5B,3ADD
2EB4,2D5C,2F07
2EB5,2D5D,2F08
2EB6,2D5E,2F09
2EB7,2D5F,2F12
2EB8,2D60,2F13
2EB9,2D61,2F14
2EE4,2D8C,4497
2EBA,2D62,4482
2EE5,2D8D,4498
2EE6,2D8E,4499
2EE7,2D8F,449A
2EE8,2D90,449B
2EC2,2D6A,2F26
2EBE,2D66,2F1E
2EE9,2D91,2F76
2EEA,2D92,2F77
2EEB,2D93,2F78
2EEC,2D94,2F79
2EED,2D95,2F7A
2EEE,2D96,2F7B
2EEF,2D97,2F7C
2EF0,2D98,2F7D
2EF1,2D99,2F7E
2EF2,2D9A,2F7F
2EF3,2D9B,2F80
2EF4,2D9C,449C
2EF5,2D9D,449D
2EF6,2D9E,449E
2EF7,2D9F,449F
2EF8,2DA0,44A0
2EF9,2DA1,44A1
2EFA,2DA2,44A2
2EFB,2DA3,44A3
2EFC,2DA4,44A4
3489,4B3C,46D6
348A,4B3D,46D7
348C,4B3F,46D9
348D,4B40,46DA
348E,3902,40B2
348F,4B41,46DB
3490,4B42,46DC
3491,4B43,46DD
3492,3900,40B0
3493,3901,40B1
3494,4B44,46DE
3495,41CE,3AD1
3496,4B45,46DF
3497,4B46,46E0
01E6,00F5,0113
01E5,00F4,0112
151F,0D3F,11ED
151A,0D3A,11E8
1519,0D39,11E7
1598,0D8F,1265
1517,0D37,11E5
1518,0D38,11E6
1566,0D56,1204
1A54,0D74,1223
3498,4B47,46E1
3499,4B48,46E2
349A,4B49,46E3
349B,4B4A,46E4
349C,4B4B,46E5
349D,4B4C,46E6
349E,4B4D,46E7
349F,4B4E,46E8
34A0,4B4F,46E9
34A1,4B50,46EA
34A2,4B51,46EB
34A3,4B52,46EC
34AC,4B54,46EF
34AD,4B55,46F0
34AE,4B56,46F1
34AF,4B57,46F2
34B0,4B58,46F3
34B1,4B59,46F4
34B2,4B5A,46F5
34B3,4B5B,46F6
34B4,32CA,40D9
34B5,3933,2F66
34B6,4B5C,46F7
34B7,3733,46F8
34B8,4B5D,46F9
34B9,374B,2F69
34BA,4B5E,46FA
34BB,4B5F,46FB
34BC,4B60,46FC
34BD,3749,46FD
34BE,497B,46FE
34BF,4B61,46FF
34C0,4B62,4700
2EBC,2D64,3AE0
34A5,3F06,2F0C
2EBD,2D65,2F10
34A4,3911,2F06
34C1,3918,2F0E
3298,308A,37E8
34A8,4B53,46EE
34A9,393E,2F71
34C2,3AB8,3D53
34C3,4B63,4701
34A7,3F08,3AE1
34C5,4B65,4703
34C6,3944,40E9
2EC0,2D68,2F24
2EC1,2D69,2F25
34C7,4B66,4704
34C8,4B67,4705
34C9,4B68,4706
34CA,4B69,4707
34CB,3948,40ED
34CC,4B6A,4708
34CD,4B6B,4709
34CE,4B6C,470A
34CF,4B6D,470B
34D0,4B6E,470C
34D1,4B6F,470D
2F45,2DED,44EC
2F46,2DEE,44ED
2F47,2DEF,44EE
2F48,2DF0,44EF
3016,2EC4,457C
302E,2EDC,3106
26AA,1CA5,235B
303F,2EED,458E
3051,2EFF,45A3
3059,2F07,45AB
3069,2F17,45BB
3079,2F27,45CB
307A,2F28,45CC
307B,2F29,45CD
3086,2F34,45D8
308C,2F3A,3748
287A,28C7,3386
2525,1BBA,222C
308D,2F3B,3749
15B7,0DA9,130C
287B,28C8,3387
308E,2F3C,374A
150E,0D2E,11DC
30F6,2F50,3185
30F7,2F51,3186
30F8,2F52,3187
30F9,2F53,3188
30FA,2F54,3189
30FB,2F55,318A
30FC,2F56,318B
30FD,2F57,318C
30FE,2F58,318D
30FF,2F59,318E
30A5,2F5D,3193
3103,2F5E,3194
2879,28C6,3385
2199,1762,1C35
15B6,0DA8,130B
287C,28C9,3388
15B5,0DA7,130A
04EE,0407,042C
04EF,0408,042D
0231,0144,0162
04F0,0409,042E
04F1,040A,042F
04F2,040B,0430
0335,0249,0268
0336,024A,0269
022B,013E,015C
0337,024B,026A
0338,024C,026B
0339,024D,026C
054F,0468,048D
0550,0469,048E
0551,046A,048F
0552,046B,0490
0553,046C,0491
196D,0E97,13FA
18AA,0DD2,1337
18AB,0DD3,1338
196E,0E98,13FB
196F,0E99,13FC
1970,0E9A,13FD
19EB,0F1B,1478
15D1,0DB9,131B
19EC,0F1C,1479
19ED,0F1D,147A
1934,0E5E,13C1
15D2,0DBA,131C
1935,0E5F,13C2
18AE,0DD6,133B
1A6D,1043,15C5
022D,0140,015E
1A6E,1044,4220
1A6F,1045,15C7
06B5,0DDB,05FA
317E,2FF3,339A
317F,2FF4,339B
3180,2FF5,339C
319F,3016,33BF
31A0,3017,33C0
1960,0E8A,13ED
1962,0E8C,13EF
31AC,3023,33CC
31AD,3024,33CD
31AE,3025,33CE
31AF,3026,33CF
31B6,302D,33D6
31B7,302E,33D7
1B51,111B,166D
31B8,302F,33D8
19A3,0ED3,1430
15D3,0DBB,131D
19A4,0ED4,1431
1BB0,11A2,16D1
1B9D,118F,16BE
1B9C,118E,16BD
1D81,1358,1879
1B81,114B,16A2
1D82,1359,187A
1B85,114F,16A6
1B86,1150,16A7
1B87,1151,16A8
1B88,1152,16A9
1D83,135A,187B
1D84,135B,187C
0F71,135C,0C09
1D85,135D,187D
1D86,135E,187E
1D87,135F,187F
1D88,1360,1880
1D89,1361,1881
1B92,115D,16B3
1A20,0F54,14B1
1DB2,13B8,18AC
1DB3,13B9,18AD
1DB4,13BA,18AE
1DB5,13BB,18AF
1DB6,13BC,18B0
1DB7,13BD,18B1
106C,13BE,0D0B
1DB8,13BF,18B2
1DB9,13C0,18B3
1DBA,13C1,18B4
1DBB,13C2,18B5
1DBC,13C3,18B6
1DBD,13C4,18B7
1DBE,13C5,18B8
1DBF,13C6,18B9
1E41,148B,1937
1E42,0F5F,14BC
1E43,148C,1938
1E44,148D,1939
1E45,148E,193A
1109,148F,0DC6
1E46,1490,193B
1E47,1491,193C
1E48,1492,193D
1E49,1493,193E
1E4A,1494,193F
1E4B,1495,1940
1E4C,1496,1941
1EF5,14F8,1985
1EF6,14F9,1986
1EF7,14FA,1987
1EF8,14FB,1988
1EF9,14FC,1989
1EFA,14FD,198A
1EFB,14FE,198B
1EFC,14FF,198C
1EFD,1500,198D
1EFE,1501,198E
1EFF,1502,198F
1F00,1503,1990
1F01,1504,1991
1F02,1505,1992
1BD2,11C5,16F4
1F03,1506,1993
1F46,1548,19D3
1F47,1549,19D4
1F48,154A,19D5
1F49,154B,19D6
1F4A,154C,19D7
1F4B,154D,19D8
1F4C,154E,19D9
1F4D,154F,19DA
10C8,1550,0D73
1F4E,1551,19DB
1F4F,1552,19DC
1F50,1553,19DD
1F51,1554,19DE
1F52,1555,19DF
1F53,1556,19E0
